Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные;Тур
Жозе Ерды Рейна Санчез;Торпедо Москва;216;87;АП ЛЦ;-;-;-;-;-;-;1.00;2.00;-;-;-;-;-;1.00;1.00;0.02;53.00;92 %;-;-;1.00;100 %;8.00;100 %;5.00;60 %;1.00;0 %;7.00;86 %;8.00;88 %;8.00;2.00;1.00;3.00;1.00;4.00;15.00;33 %;4.00;50 %;11.00;27 %;2.00;0 %;6.00;33 %;2.00;0 %;2.00;50 %;-;6.00;1;1.00;1.00;-;80.00;65.00;81 %;100 %;-;-;-;0.36;0.02;-;0.00;1.30;0.76;0.54;-;-;49.00;-;1.00;8.00;3.00;-;6.00;7.00;5.00;2.00;3.00;-;2.00;-;1.00;10
Максим Храмцов;Динамо Махачкала;238;86;ЗП Л;-;-;-;-;-;-;2.00;-;-;-;-;-;-;-;-;-;39.00;64 %;1.00;0 %;-;-;9.00;33 %;1.00;100 %;-;-;10.00;40 %;5.00;60 %;9.00;2.00;-;7.00;1.00;-;14.00;64 %;5.00;80 %;9.00;56 %;8.00;50 %;-;-;-;-;5.00;80 %;5.00;4.00;1;1.00;1.00;-;63.00;44.00;70 %;-;-;-;-;0.27;-;-;-;0.96;0.42;0.54;0.10;0.10;25.00;-;-;3.00;1.00;-;4.00;3.00;9.00;4.00;5.00;4.00;-;-;4.00;10
Максим Бачинский;Ленинградец;209;85;АП ЛЦ;-;-;-;-;-;-;2.00;2.00;-;-;-;-;-;1.00;1.00;0.03;20.00;60 %;1.00;0 %;4.00;0 %;4.00;75 %;-;-;-;-;3.00;67 %;4.00;25 %;7.00;-;1.00;2.00;1.00;4.00;20.00;45 %;9.00;44 %;11.00;45 %;7.00;29 %;3.00;67 %;-;-;4.00;75 %;3.00;2.00;1;1.00;1.00;-;51.00;31.00;61 %;100 %;-;-;-;-;0.03;-;0.00;0.51;1.30;-0.79;0.06;0.06;12.00;-;-;3.00;-;-;2.00;1.00;9.00;4.00;5.00;2.00;2.00;-;3.00;10
Виталий Горулев;Ленинградец;195;85;ЗП ПЦ;-;-;-;-;-;-;1.00;2.00;-;1.00;-;-;-;1.00;1.00;0.02;34.00;79 %;-;-;-;-;7.00;43 %;-;-;-;-;3.00;33 %;1.00;100 %;4.00;-;-;7.00;2.00;2.00;18.00;50 %;10.00;20 %;8.00;88 %;6.00;50 %;2.00;100 %;1.00;100 %;3.00;33 %;20.00;4.00;1;1.00;1.00;-;79.00;63.00;80 %;100 %;-;-;-;-;0.02;-;0.00;0.51;1.30;-0.79;0.41;0.20;27.00;-;-;3.00;-;-;1.00;1.00;9.00;2.00;7.00;3.00;2.00;1.00;1.00;10
Эрвинг Джо Ботака-Иобома;Арсенал Тула;212;84;З ПЦ;-;-;1.00;-;0 %;-;2.00;-;-;1.00;1.00;-;-;2.00;-;0.35;27.00;78 %;-;-;-;-;8.00;25 %;2.00;0 %;-;-;4.00;50 %;-;-;4.00;1.00;-;12.00;4.00;1.00;18.00;78 %;14.00;71 %;4.00;100 %;7.00;86 %;1.00;100 %;-;-;2.00;100 %;6.00;6.00;1;1.00;1.00;-;61.00;49.00;80 %;0 %;2.00;-;-;-;0.17;-;0.00;1.59;0.20;1.39;0.02;0.02;21.00;-;-;2.00;-;-;2.00;-;14.00;10.00;4.00;6.00;1.00;-;2.00;10
Джонатан Теофилис Окоронкво;Арсенал Тула;227;84;Ф Ц;1.00;-;2.00;1.00;50 %;-;-;-;-;-;-;-;1.00;3.00;3.00;0.48;18.00;72 %;-;-;-;-;1.00;100 %;1.00;100 %;-;-;1.00;0 %;2.00;100 %;8.00;-;-;-;-;1.00;22.00;18 %;5.00;20 %;17.00;18 %;10.00;20 %;2.00;0 %;2.00;0 %;-;-;2.00;2.00;1;1.00;1.00;-;48.00;25.00;52 %;100 %;-;-;-;0.04;0.16;0.48;2.8;1.59;0.20;1.39;-;-;13.00;-;-;1.00;1.00;-;-;2.00;4.00;1.00;3.00;2.00;-;-;-;10
Артём Малахов;Шинник;171;83;АП П;-;-;2.00;-;0 %;1.00;1.00;-;-;-;-;-;-;1.00;-;0.10;19.00;74 %;-;-;-;-;3.00;33 %;2.00;0 %;1.00;0 %;1.00;100 %;-;-;10.00;3.00;1.00;3.00;1.00;-;11.00;36 %;5.00;40 %;6.00;33 %;3.00;33 %;-;-;-;-;4.00;50 %;4.00;5.00;1;1.00;1.00;-;42.00;28.00;67 %;0 %;1.00;-;-;0.05;0.10;-;0.00;0.20;1.59;-1.39;-;-;14.00;-;-;1.00;-;-;1.00;-;4.00;2.00;2.00;1.00;-;-;2.00;10
Алан Чочиев;Алания Владикавказ;217;82;АП Ц;-;-;-;-;-;2.00;-;4.00;-;1.00;-;-;-;1.00;1.00;0.03;46.00;85 %;2.00;50 %;2.00;100 %;5.00;40 %;3.00;67 %;-;-;2.00;50 %;3.00;67 %;1.00;-;-;2.00;1.00;2.00;7.00;43 %;4.00;25 %;3.00;67 %;1.00;0 %;1.00;100 %;1.00;100 %;1.00;0 %;6.00;4.00;1;1.00;1.00;-;66.00;55.00;83 %;100 %;-;-;-;0.11;0.03;-;0.00;0.32;0.96;-0.64;-;-;39.00;1.00;2.00;2.00;2.00;-;1.00;2.00;3.00;1.00;2.00;-;1.00;1.00;-;10
Никита Глушков;Енисей Красноярск;187;82;АП Л;-;-;-;-;-;-;-;1.00;-;-;-;-;1.00;1.00;-;0.20;26.00;65 %;-;-;1.00;0 %;3.00;67 %;-;-;-;-;-;-;3.00;67 %;13.00;2.00;-;4.00;1.00;2.00;19.00;32 %;5.00;40 %;14.00;29 %;3.00;0 %;7.00;57 %;2.00;50 %;1.00;100 %;2.00;4.00;1;1.00;1.00;-;54.00;31.00;57 %;0 %;-;1.00;-;0.14;0.20;-;0.00;0.58;1.29;-0.71;-;-;17.00;-;-;2.00;-;-;-;2.00;6.00;2.00;4.00;-;4.00;1.00;1.00;10
Никита Глушков;Динамо Махачкала;208;81;АП ПЦ;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;12.00;75 %;-;-;-;-;3.00;33 %;-;-;-;-;1.00;0 %;-;-;3.00;1.00;-;-;-;-;4.00;50 %;3.00;33 %;1.00;100 %;-;-;-;-;-;-;2.00;50 %;9.00;3.00;1;1.00;1.00;-;29.00;24.00;83 %;-;-;-;-;-;-;-;-;0.96;0.32;0.64;-;-;9.00;-;-;1.00;-;-;-;-;2.00;1.00;1.00;-;-;-;1.00;10
Сослан Кагермазов;Динамо Махачкала;245;81;ЗП П;-;-;-;-;-;-;1.00;-;-;-;-;-;-;1.00;-;0.03;20.00;60 %;1.00;0 %;2.00;50 %;8.00;38 %;3.00;33 %;-;-;9.00;44 %;6.00;33 %;7.00;-;1.00;2.00;1.00;2.00;14.00;64 %;7.00;86 %;7.00;43 %;4.00;75 %;2.00;50 %;-;-;5.00;100 %;3.00;5.00;1;1.00;1.00;-;46.00;31.00;67 %;0 %;1.00;-;-;0.05;0.03;-;0.00;0.96;0.32;0.64;0.07;0.04;12.00;-;1.00;3.00;1.00;-;4.00;2.00;9.00;6.00;3.00;3.00;1.00;-;5.00;10
Эгаш Касинтура;Динамо Махачкала;267;81;АП ЛЦ;1.00;-;2.00;1.00;50 %;2.00;-;1.00;-;-;-;-;-;3.00;2.00;0.29;27.00;78 %;2.00;50 %;-;-;3.00;67 %;-;-;-;-;1.00;100 %;3.00;33 %;10.00;1.00;-;4.00;1.00;2.00;24.00;25 %;1.00;0 %;23.00;26 %;4.00;25 %;11.00;27 %;9.00;33 %;-;-;8.00;6.00;1;1.00;1.00;-;70.00;45.00;64 %;67 %;1.00;-;-;0.16;0.10;0.29;3.45;0.96;0.32;0.64;-;-;21.00;1.00;-;2.00;-;-;1.00;1.00;6.00;-;6.00;1.00;3.00;3.00;-;10
Михаил Мальцев;Сокол Саратов;190;80;П Л;1.00;-;2.00;1.00;50 %;1.00;-;-;-;1.00;-;-;1.00;2.00;1.00;0.59;28.00;64 %;1.00;100 %;1.00;0 %;8.00;38 %;2.00;0 %;-;-;5.00;40 %;3.00;0 %;8.00;1.00;-;5.00;-;-;13.00;31 %;6.00;33 %;7.00;29 %;5.00;0 %;-;-;-;-;3.00;33 %;4.00;4.00;1;1.00;1.00;-;51.00;31.00;61 %;50 %;-;-;1.00;0.11;0.29;0.59;1.69;2.20;2.12;0.08;-;-;18.00;1.00;-;3.00;-;-;2.00;-;4.00;2.00;2.00;-;-;-;1.00;10
Владислав Морозов;Сокол Саратов;244;80;Ф ЛЦ;2.00;-;2.00;2.00;100 %;-;-;1.00;-;-;1.00;-;3.00;3.00;2.00;0.75;14.00;86 %;-;-;1.00;0 %;2.00;100 %;1.00;0 %;1.00;0 %;1.00;100 %;-;-;9.00;2.00;2.00;1.00;-;2.00;12.00;42 %;-;-;12.00;42 %;6.00;67 %;2.00;0 %;1.00;0 %;-;-;1.00;2.00;1;1.00;1.00;-;36.00;24.00;67 %;67 %;1.00;-;-;-;0.25;0.38;2.67;2.20;2.12;0.08;-;-;12.00;-;-;2.00;-;-;1.00;-;5.00;-;5.00;4.00;-;-;-;10
Андрей Савинов;СКА-Хабаровск;218;80;П ПЦ;-;-;2.00;-;0 %;-;-;-;-;-;-;-;-;1.00;1.00;0.19;21.00;95 %;-;-;-;-;3.00;67 %;2.00;100 %;1.00;100 %;3.00;100 %;1.00;0 %;2.00;1.00;1.00;2.00;-;1.00;11.00;73 %;4.00;75 %;7.00;71 %;2.00;100 %;1.00;100 %;1.00;100 %;1.00;100 %;2.00;4.00;1;1.00;1.00;-;41.00;36.00;88 %;100 %;-;-;-;-;0.19;-;0.00;2.14;0.41;1.73;-;-;20.00;-;-;2.00;2.00;1.00;3.00;-;8.00;3.00;5.00;2.00;1.00;1.00;1.00;10
Антон Килин;ФК Акрон Тольятти;182;79;АП Л;-;-;1.00;-;0 %;-;-;1.00;-;-;-;-;-;-;-;-;14.00;57 %;-;-;1.00;0 %;2.00;50 %;-;-;-;-;1.00;100 %;-;-;5.00;3.00;-;1.00;-;-;7.00;43 %;2.00;100 %;5.00;20 %;-;-;-;-;-;-;2.00;100 %;3.00;4.00;1;1.00;1.00;-;29.00;19.00;66 %;-;-;-;-;0.03;-;-;-;0.48;1.66;-1.18;0.07;0.04;8.00;-;-;1.00;-;-;1.00;-;3.00;2.00;1.00;-;-;-;2.00;10
Даниил Павлов;Тюмень;180;79;П П;-;-;-;-;-;-;2.00;-;-;-;-;-;-;1.00;-;0.41;23.00;65 %;-;-;2.00;0 %;4.00;50 %;1.00;0 %;-;-;1.00;0 %;2.00;50 %;10.00;2.00;1.00;3.00;1.00;2.00;12.00;33 %;5.00;60 %;7.00;14 %;4.00;0 %;1.00;0 %;-;-;4.00;75 %;4.00;6.00;1;1.00;1.00;-;49.00;31.00;63 %;0 %;-;1.00;-;-;0.41;-;0.00;1.5;1.41;-0.36;0.26;0.13;15.00;-;-;2.00;-;-;-;1.00;4.00;3.00;1.00;-;-;-;3.00;10
Андрес Фабиан Понсе Нуньес;ФК Акрон Тольятти;224;79;Ф Ц;1.00;-;1.00;1.00;100 %;-;-;-;-;-;-;-;-;3.00;3.00;0.36;7.00;71 %;-;-;-;-;1.00;0 %;-;-;-;-;1.00;0 %;-;-;7.00;3.00;-;1.00;-;1.00;26.00;19 %;10.00;30 %;16.00;13 %;11.00;36 %;1.00;0 %;1.00;0 %;-;-;1.00;2.00;1;1.00;1.00;-;41.00;18.00;44 %;100 %;-;-;-;-;0.12;0.36;2.78;0.48;1.66;-1.18;-;-;5.00;-;-;-;-;-;-;-;5.00;3.00;2.00;4.00;-;-;-;10
Иван Тимошенко;Родина Москва;235;79;Ф ЛЦ;1.00;-;2.00;1.00;50 %;1.00;3.00;-;-;-;-;-;1.00;5.00;2.00;1.70;14.00;57 %;1.00;0 %;1.00;0 %;1.00;100 %;-;-;-;-;1.00;100 %;1.00;0 %;13.00;2.00;-;2.00;-;-;20.00;30 %;2.00;100 %;18.00;22 %;10.00;40 %;-;-;-;-;-;-;4.00;3.00;1;1.00;1.00;-;46.00;23.00;50 %;40 %;1.00;2.00;-;0.02;0.34;1.70;0.59;1.41;1.5;0.36;0.30;0.30;8.00;-;-;1.00;-;-;1.00;-;6.00;2.00;4.00;4.00;-;-;-;10
Борис Фартуна;КамАЗ Набережные Челны;200;78;П ЛЦ;-;-;1.00;-;0 %;1.00;4.00;1.00;-;-;1.00;-;-;2.00;1.00;0.11;20.00;90 %;-;-;-;-;4.00;100 %;-;-;-;-;1.00;100 %;-;-;6.00;2.00;1.00;2.00;-;1.00;17.00;29 %;8.00;38 %;9.00;22 %;5.00;20 %;2.00;50 %;-;-;2.00;50 %;3.00;2.00;1;1.00;1.00;-;46.00;30.00;65 %;50 %;1.00;-;-;-;0.06;-;0.00;0.27;0.36;-0.09;-;-;18.00;-;-;4.00;-;-;1.00;-;5.00;3.00;2.00;1.00;1.00;-;1.00;10
Дамир Таликин;КамАЗ Набережные Челны;197;78;П ПЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30.00;83 %;-;-;3.00;33 %;11.00;91 %;1.00;0 %;-;-;7.00;71 %;5.00;40 %;4.00;-;1.00;2.00;1.00;1.00;9.00;44 %;4.00;50 %;5.00;40 %;4.00;50 %;2.00;50 %;1.00;0 %;1.00;100 %;2.00;4.00;1;1.00;1.00;-;47.00;36.00;77 %;-;-;-;-;-;-;-;-;0.27;0.36;-0.09;0.02;0.02;25.00;-;1.00;10.00;-;-;5.00;2.00;4.00;2.00;2.00;2.00;1.00;-;1.00;10
Артемий Укомский;КамАЗ Набережные Челны;160;78;Ф Ц;-;-;1.00;-;0 %;1.00;-;1.00;-;-;-;-;1.00;1.00;-;0.14;15.00;80 %;-;-;-;-;2.00;0 %;-;-;-;-;-;-;-;-;15.00;2.00;2.00;-;-;1.00;17.00;18 %;1.00;0 %;16.00;19 %;6.00;17 %;2.00;50 %;-;-;-;-;-;-;1;1.00;1.00;-;36.00;16.00;44 %;0 %;1.00;-;-;-;0.14;-;0.00;0.27;0.36;-0.09;-;-;12.00;-;-;-;-;-;-;-;3.00;-;3.00;1.00;1.00;-;-;10
Султан Джамилов;Нефтехимик Нижнекамск;254;76;Ф ЛЦ;-;-;1.00;-;0 %;2.00;3.00;3.00;-;-;-;-;-;2.00;1.00;0.19;19.00;89 %;2.00;50 %;1.00;100 %;2.00;50 %;-;-;-;-;1.00;0 %;1.00;100 %;6.00;1.00;2.00;1.00;-;2.00;15.00;27 %;-;-;15.00;27 %;4.00;0 %;1.00;100 %;1.00;100 %;-;-;-;4.00;1;1.00;1.00;-;44.00;28.00;64 %;50 %;1.00;-;-;-;0.10;-;0.00;0.36;0.27;0.09;-;-;17.00;1.00;1.00;1.00;-;-;-;1.00;4.00;-;4.00;-;1.00;1.00;-;10
Алан Хабалов;Алания Владикавказ;186;76;З П;-;-;-;-;-;-;2.00;1.00;1.00;2.00;-;-;1.00;-;-;-;37.00;76 %;-;-;3.00;33 %;9.00;67 %;4.00;75 %;1.00;100 %;3.00;100 %;4.00;50 %;5.00;2.00;1.00;3.00;-;-;14.00;43 %;11.00;45 %;3.00;33 %;3.00;67 %;2.00;50 %;1.00;0 %;4.00;50 %;4.00;10.00;1;1.00;1.00;-;66.00;48.00;73 %;-;-;-;-;-;-;-;-;0.23;0.96;-0.73;-;-;28.00;-;1.00;6.00;3.00;1.00;3.00;2.00;6.00;5.00;1.00;2.00;1.00;-;2.00;10
Заур Тарба;Алания Владикавказ;176;76;ЗП ПЦ;-;-;-;-;-;-;1.00;1.00;-;-;-;-;-;-;-;-;34.00;71 %;-;-;2.00;0 %;8.00;38 %;2.00;0 %;-;-;5.00;20 %;4.00;0 %;7.00;-;-;3.00;1.00;2.00;13.00;54 %;6.00;67 %;7.00;43 %;3.00;67 %;3.00;33 %;3.00;33 %;1.00;100 %;-;4.00;1;1.00;1.00;-;53.00;37.00;70 %;-;-;-;-;-;-;-;-;0.23;0.96;-0.73;-;-;24.00;-;-;3.00;-;-;1.00;-;7.00;4.00;3.00;2.00;1.00;1.00;1.00;10
Астемир Гордюшенко;Родина Москва;229;75;П Л;-;-;1.00;-;0 %;-;3.00;2.00;-;-;-;-;-;1.00;-;0.10;24.00;75 %;2.00;0 %;2.00;0 %;7.00;43 %;-;-;-;-;1.00;100 %;5.00;60 %;9.00;2.00;2.00;5.00;1.00;2.00;18.00;50 %;6.00;83 %;12.00;33 %;3.00;33 %;4.00;25 %;4.00;25 %;3.00;67 %;2.00;2.00;1;1.00;1.00;-;52.00;34.00;65 %;0 %;1.00;-;-;0.29;0.10;-;0.00;1.41;1.5;0.36;-;-;18.00;-;-;3.00;-;-;1.00;3.00;9.00;5.00;4.00;1.00;1.00;1.00;2.00;10
Данил Кленкин;ФК Волгарь;220;75;Ф ПЦ;-;-;1.00;-;0 %;2.00;-;2.00;-;-;-;-;-;3.00;1.00;0.20;25.00;56 %;2.00;100 %;3.00;67 %;10.00;50 %;-;-;-;-;7.00;43 %;4.00;50 %;10.00;1.00;2.00;-;-;1.00;15.00;40 %;4.00;0 %;11.00;55 %;5.00;20 %;5.00;80 %;3.00;100 %;-;-;1.00;3.00;1;1.00;1.00;-;50.00;26.00;52 %;33 %;2.00;-;-;0.43;0.07;-;0.00;1.24;0.42;0.82;-;-;14.00;2.00;2.00;5.00;-;-;3.00;2.00;6.00;-;6.00;1.00;4.00;3.00;-;10
Данил Полубояринов;ФК Волгарь;226;75;П ЛЦ;-;-;-;-;-;-;-;2.00;-;-;-;-;-;2.00;-;0.06;29.00;90 %;-;-;-;-;5.00;60 %;-;-;-;-;2.00;50 %;1.00;100 %;2.00;-;-;4.00;1.00;1.00;10.00;60 %;5.00;20 %;5.00;100 %;4.00;50 %;1.00;100 %;1.00;100 %;-;-;4.00;6.00;1;1.00;1.00;-;52.00;43.00;83 %;0 %;-;2.00;-;-;0.03;-;0.00;1.24;0.42;0.82;0.08;0.04;26.00;-;-;3.00;-;-;1.00;1.00;6.00;1.00;5.00;2.00;1.00;1.00;-;10
Мухаммад Султонов;Родина Москва;256;75;П П;-;-;1.00;1.00;100 %;2.00;-;3.00;-;-;-;-;-;3.00;1.00;0.16;35.00;86 %;-;-;2.00;100 %;9.00;78 %;2.00;100 %;-;-;7.00;71 %;5.00;100 %;5.00;1.00;-;-;-;1.00;8.00;38 %;3.00;33 %;5.00;40 %;3.00;0 %;1.00;100 %;1.00;100 %;1.00;100 %;6.00;10.00;1;1.00;1.00;-;64.00;52.00;81 %;33 %;-;2.00;-;0.51;0.05;-;0.00;1.41;1.5;0.36;-;-;30.00;-;2.00;7.00;2.00;-;5.00;5.00;3.00;1.00;2.00;-;1.00;1.00;1.00;10
Иван Енин;Торпедо Москва;197;74;ЗП ЛЦ;-;-;-;-;-;-;-;2.00;-;-;-;-;-;1.00;-;0.04;44.00;84 %;-;-;1.00;0 %;9.00;89 %;1.00;100 %;1.00;100 %;6.00;83 %;1.00;100 %;4.00;2.00;-;3.00;2.00;1.00;10.00;50 %;6.00;33 %;4.00;75 %;2.00;50 %;1.00;100 %;-;-;3.00;33 %;4.00;8.00;1;1.00;1.00;-;68.00;55.00;81 %;0 %;-;1.00;-;0.24;0.04;-;0.00;1.8;0.52;0.56;0.19;0.06;37.00;-;-;8.00;1.00;1.00;5.00;1.00;5.00;2.00;3.00;1.00;1.00;-;1.00;10
Игорь Лебеденко;Торпедо Москва;198;74;Ф Ц;-;-;1.00;-;0 %;-;-;1.00;-;-;-;-;2.00;2.00;1.00;0.27;33.00;79 %;-;-;2.00;0 %;6.00;67 %;-;-;-;-;1.00;100 %;8.00;75 %;10.00;3.00;-;-;-;-;15.00;27 %;2.00;50 %;13.00;23 %;13.00;23 %;1.00;0 %;1.00;0 %;1.00;100 %;1.00;3.00;1;1.00;1.00;-;54.00;35.00;65 %;50 %;1.00;-;-;0.06;0.14;-;0.00;1.8;0.52;0.56;-;-;26.00;-;-;4.00;-;-;1.00;6.00;4.00;1.00;3.00;3.00;-;-;1.00;10
Дмитрий Полоз;Торпедо Москва;191;74;АП ПЦ;-;-;1.00;-;0 %;-;-;-;-;-;-;-;-;1.00;1.00;0.12;8.00;100 %;-;-;-;-;-;-;-;-;-;-;1.00;100 %;-;-;5.00;-;-;-;-;-;5.00;20 %;-;-;5.00;20 %;2.00;50 %;-;-;-;-;-;-;1.00;1.00;1;1.00;1.00;-;16.00;12.00;75 %;100 %;-;-;-;0.04;0.12;-;0.00;1.8;0.52;0.56;0.04;0.04;8.00;-;-;-;-;-;1.00;-;1.00;-;1.00;1.00;-;-;-;10
Кирилл Колесниченко;Ленинградец;195;73;АП П;-;-;1.00;-;0 %;1.00;1.00;-;-;-;-;-;1.00;2.00;-;0.10;20.00;80 %;1.00;100 %;-;-;5.00;80 %;1.00;0 %;-;-;3.00;67 %;2.00;50 %;13.00;1.00;2.00;-;-;1.00;21.00;38 %;4.00;50 %;17.00;35 %;6.00;50 %;3.00;0 %;3.00;0 %;2.00;50 %;2.00;2.00;1;1.00;1.00;-;51.00;30.00;59 %;0 %;1.00;1.00;-;0.22;0.05;-;0.00;0.42;1.22;-0.80;0.02;0.02;16.00;1.00;-;4.00;-;-;2.00;1.00;8.00;2.00;6.00;3.00;-;-;1.00;10
Дмитрий Коробов;Черноморец;212;73;ЗП ЛЦ;-;-;-;-;-;-;3.00;1.00;-;-;-;-;-;-;-;-;37.00;92 %;-;-;-;-;5.00;80 %;-;-;-;-;3.00;67 %;1.00;0 %;2.00;-;1.00;6.00;2.00;2.00;8.00;63 %;6.00;67 %;2.00;50 %;2.00;100 %;-;-;-;-;2.00;50 %;5.00;5.00;1;1.00;1.00;-;58.00;51.00;88 %;-;-;-;-;0.23;-;-;-;1.95;2.20;-0.25;-;-;34.00;-;-;4.00;-;-;2.00;-;5.00;4.00;1.00;2.00;-;-;1.00;10
Владислав Руденко;Черноморец;252;73;Ф Ц;2.00;-;4.00;2.00;50 %;-;-;1.00;-;-;-;-;-;4.00;2.00;1.9;17.00;65 %;-;-;2.00;0 %;3.00;33 %;-;-;-;-;-;-;1.00;100 %;9.00;-;1.00;2.00;2.00;-;13.00;38 %;1.00;100 %;12.00;33 %;11.00;27 %;-;-;-;-;-;-;1.00;1.00;1;1.00;1.00;-;37.00;20.00;54 %;50 %;1.00;1.00;-;-;0.27;0.55;1.83;1.95;2.20;-0.25;-;-;11.00;-;-;1.00;-;-;-;1.00;5.00;1.00;4.00;3.00;-;-;-;10
Павел Котов;Нефтехимик Нижнекамск;255;70;П Л;1.00;-;1.00;1.00;100 %;-;1.00;1.00;-;-;-;-;-;1.00;1.00;0.75;13.00;62 %;2.00;0 %;-;-;-;-;1.00;100 %;-;-;1.00;100 %;2.00;50 %;1.00;1.00;1.00;1.00;-;-;12.00;67 %;5.00;60 %;7.00;71 %;6.00;50 %;2.00;100 %;2.00;100 %;3.00;100 %;2.00;2.00;1;1.00;1.00;-;32.00;22.00;69 %;100 %;-;-;-;-;0.75;0.75;1.33;0.36;0.21;0.15;-;-;8.00;-;-;-;1.00;-;1.00;1.00;8.00;3.00;5.00;3.00;2.00;2.00;3.00;10
Сергей Макаров;ФК Акрон Тольятти;230;70;П ПЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45.00;78 %;-;-;2.00;50 %;7.00;86 %;1.00;100 %;-;-;3.00;100 %;5.00;40 %;4.00;1.00;-;4.00;2.00;-;9.00;78 %;6.00;67 %;3.00;100 %;2.00;100 %;1.00;100 %;-;-;3.00;33 %;4.00;5.00;1;1.00;1.00;-;63.00;51.00;81 %;-;-;-;-;-;-;-;-;0.48;1.29;-0.81;0.01;0.01;35.00;-;1.00;6.00;1.00;-;3.00;2.00;7.00;4.00;3.00;2.00;1.00;-;1.00;10
Илья Рубцов;Шинник;157;70;Ф Ц;-;-;-;-;-;-;1.00;1.00;-;-;-;-;1.00;-;-;-;9.00;78 %;-;-;1.00;0 %;-;-;-;-;-;-;-;-;-;-;10.00;2.00;1.00;3.00;2.00;1.00;14.00;14 %;5.00;40 %;9.00;0 %;7.00;0 %;1.00;0 %;-;-;1.00;100 %;1.00;-;1;1.00;1.00;-;26.00;11.00;42 %;-;-;-;-;0.10;-;-;-;0.20;1.41;-1.21;-;-;7.00;-;-;-;-;-;-;-;2.00;2.00;-;-;-;-;1.00;10
Андрей Семенов;Шинник;194;70;З П;-;-;-;-;-;-;2.00;-;-;-;-;-;-;1.00;-;0.01;37.00;70 %;-;-;-;-;13.00;54 %;4.00;25 %;-;-;6.00;33 %;-;-;9.00;4.00;-;10.00;-;-;11.00;82 %;8.00;75 %;3.00;100 %;5.00;80 %;-;-;-;-;2.00;100 %;7.00;5.00;1;1.00;1.00;-;61.00;47.00;77 %;0 %;1.00;-;-;-;0.01;-;0.00;0.20;1.41;-1.21;0.07;0.07;26.00;-;-;7.00;1.00;-;2.00;-;9.00;6.00;3.00;4.00;-;-;2.00;10
Саид Алиев;СКА-Хабаровск;244;69;Ф Ц;1.00;-;2.00;1.00;50 %;3.00;-;4.00;-;-;-;-;1.00;5.00;4.00;1.5;7.00;57 %;1.00;100 %;-;-;-;-;-;-;-;-;1.00;0 %;-;-;9.00;1.00;1.00;-;-;2.00;29.00;41 %;3.00;0 %;26.00;46 %;5.00;40 %;6.00;50 %;6.00;50 %;1.00;0 %;-;5.00;1;1.00;1.00;-;49.00;27.00;55 %;80 %;1.00;-;-;0.40;0.21;1.5;0.95;1.10;0.18;0.92;-;-;4.00;1.00;-;-;-;-;-;-;12.00;-;12.00;2.00;3.00;3.00;-;10
